gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gene_1028,2.91,0.9203,0.2069,0.020714907054959826,0.10065552504839566
Gene_1029,45.87,-1.5342,0.3119,0.05935952826443852,0.28815304982737144
Gene_1030,5.65,-0.3861,0.0875,0.004211611238458651,0.020424884764590936
Gene_1031,63.46,4.961,0.2412,0.004657999784979715,0.022567828415599397
Gene_1032,405.45,-3.061,0.3266,0.0007395429226124474,0.003579588202383579
Gene_1033,24.99,0.9708,0.3386,0.04328911091072416,0.20932838931684797
Gene_1034,8.55,-0.7248,0.2555,0.004666826552447427,0.02254505580892477
Gene_1035,170.49,2.361,0.307,0.014743597652939833,0.07115635932886019
Gene_1036,833.04,-1.8386,0.1981,0.05864729355461437,0.28277383584674237
Gene_1037,5.0,-4.876,0.4408,0.0035364597601277798,0.017034969942812044
Gene_1038,765.45,0.3367,0.4448,0.005723410144984502,0.027542878464795487
Gene_1039,760.98,2.6488,0.371,0.0015376774992136423,0.007392680284680973
Gene_1040,1000.42,2.5259,0.2732,0.003643493299428023,0.01749996781665717
Gene_1041,1697.58,-0.6883,0.2176,0.010451576541662582,0.05015151891392793
Gene_1042,12137.17,1.618,0.3846,0.00016091934887893614,0.0007714254500428386
Gene_1043,72.81,-0.0578,0.3185,0.032376759507910295,0.15506110875435963
Gene_1044,184.78,-0.2589,0.1998,0.0040376897109265395,0.019319089525964304
Gene_1045,64.53,1.3255,0.4058,1.1949787309618605e-06,5.712135425247899e-06
Gene_1046,149.0,0.9785,0.2552,0.27076675395002836,1.0
Gene_1047,3183.53,-2.3646,0.2136,0.01768168002072508,0.08435916040422271
Gene_1048,10.07,2.2148,0.3947,0.006321926733781722,0.030133111219169315
Gene_1049,26.52,-3.6687,0.2211,0.002969633530720394,0.014141112051049495
Gene_1050,2331.72,-0.9383,0.3126,0.00044146904461352625,0.0021002333235657766
Gene_1051,1141.47,0.5937,0.4283,0.0011672634215631344,0.005547829950395125
Gene_1052,71.79,0.741,0.4183,0.005016164348810414,0.023818444201378984
Gene_1053,819.59,0.391,0.3342,0.00706873603971235,0.03353290341419521
Gene_1054,293.66,-0.8255,0.1827,0.019006035643165952,0.09007599830884337
Gene_1055,2982.6,-1.0074,0.2503,0.007716272207530748,0.03653537977050544
Gene_1056,172.26,-0.0383,0.5416,0.012388439749325785,0.058601890961805986
Gene_1057,1154.32,1.7591,0.3948,0.00039820242270201185,0.0018818640014272774
Gene_1058,29261.38,0.8154,0.2769,0.08753739579065653,0.4133021519861026
Gene_1059,490.88,-0.5559,0.1741,0.6105054054007961,1.0
Gene_1060,163.8,1.1575,0.11,0.2205353364420199,1.0
Gene_1061,629.48,-4.2728,0.4215,0.09263246594559796,0.4361227210244725
Gene_1062,71.48,1.7231,0.4235,0.0009610619218582262,0.00452051703602176
Gene_1063,17604.95,-2.6096,0.2962,0.0948606900279359,0.44577391930421006
Gene_1064,212.76,-0.5437,0.2589,3.1637653673305414e-05,0.0001485335853206827
Gene_1065,85.98,4.7699,0.4134,0.006970251137120222,0.03269348563377215
Gene_1066,27.9,-1.942,0.1521,0.018756122642611055,0.08789185868140138
Gene_1067,1332.0,1.7412,0.4998,0.03361536356146384,0.15737529757239627
Gene_1068,840.82,-0.7016,0.3738,0.27435915758185614,1.0
Gene_1069,54.89,0.5198,0.1747,0.11346140098581421,0.5301934625505337
Gene_1070,470.08,-0.0704,0.3786,0.0003147175303040628,0.0014692695158919833
Gene_1071,7.26,0.7156,0.2317,0.07356651777173208,0.3431274149800937
Gene_1072,214.85,0.1152,0.1664,0.01557497939546919,0.07257679121840256
Gene_1073,367.06,-1.9245,0.3783,0.01525560166436799,0.07102235411716941
Gene_1074,4512.74,1.4944,0.1895,0.010158611928182836,0.04724935780550156
Gene_1075,31.76,-0.7406,0.1664,0.0003728998316193198,0.0017328059090117092
Gene_1076,11.51,-2.3349,0.3485,0.06926158928308172,0.32154869676453907
Gene_1077,24.76,-0.6422,0.2896,0.036162490451615396,0.16772954754923652
Gene_1078,10.25,2.2511,0.4012,0.13858995015390912,0.6422147829189487
Gene_1079,2150.2,1.2753,0.27,1.3894630720681013e-05,6.432699407722691e-05
Gene_1080,3285.51,-0.523,0.261,0.018348032601177688,0.08486601573162668
Gene_1081,281.58,-0.5239,0.0963,0.0032821201376072207,0.01516691375973762
Gene_1082,1707.17,-0.4825,0.3502,0.004989978733338739,0.023037759618369062
Gene_1083,194.01,3.1151,0.2982,0.0006425001563198995,0.002963561606641603
Gene_1084,122.7,0.5729,0.4188,0.0006014965518264767,0.002771873510721091
Gene_1085,76.24,0.6451,0.376,0.007264122760711818,0.03344439576754981
Gene_1086,79.78,1.5454,0.3332,0.012649015077365228,0.058183142030198844
Gene_1087,6.72,0.3582,0.2269,0.00939670230003795,0.04318337454061558
Gene_1088,251.77,-0.3886,0.2585,0.01155557101885153,0.053055881629254044
Gene_1089,136.91,-0.2945,0.3549,0.0202360659142594,0.09282599043238256
Gene_1090,659.0,-0.1074,0.2948,0.045255829962885685,0.2074052702240407
Gene_1091,178.94,-0.0558,0.4418,0.023600066618745006,0.10805891308949178
Gene_1092,107.19,1.0914,0.4315,1.349879031162718e-07,6.175109932125883e-07
Gene_1093,25.99,0.0779,0.275,0.02456802970342162,0.11228532771216462
Gene_1094,171.45,1.099,0.3093,0.3140522623667275,1.0
Gene_1095,649.68,-0.1211,0.2206,0.002183507115316985,0.009961255088124931
Gene_1096,15.08,0.118,0.2898,0.0011351752661275642,0.005173998478247786
Gene_1097,176.79,-2.9973,0.395,0.007640666094646192,0.03479356145103001
Gene_1098,236.53,1.3745,0.2456,0.05080194552656126,0.23112805062129782
Gene_1099,35.3,2.9597,0.2633,0.007182329380808706,0.03264695173094866
Gene_1100,45.8,1.497,0.1831,0.002760183773992538,0.012534894523126875
Gene_1101,235.38,-4.3444,0.2437,0.03311341427294225,0.1502423515106273
Gene_1102,15.38,3.1326,0.3614,0.09398832417137623,0.42605767983398113
Gene_1103,298.82,-0.2094,0.2759,0.18980623329653049,0.8596296797850113
Gene_1104,24.76,1.6623,0.1848,0.1298435942802928,0.5875275759289267
Gene_1105,1243.53,-1.5599,0.3212,0.007123697774678811,0.032204781983177264
Gene_1106,15925.16,0.9192,0.2949,2.055893149569395e-07,9.285876917657611e-07
Gene_1107,26.54,-1.5801,0.4121,0.0002937893605270988,0.0013257642623064026
Gene_1108,432.0,-0.9357,0.2864,0.004067020475080935,0.01833643135744335
Gene_1109,34.69,2.871,0.2005,0.002202050632162737,0.009919146991724042
Gene_1110,1190.24,-0.286,0.3963,0.09818562175407153,0.44187948584190606
Gene_1111,11.82,0.3261,0.203,0.00021926083795803132,0.0009858850627609322
Gene_1112,388.07,1.3051,0.1699,0.026546027633379286,0.11925439188400398
Gene_1113,25.89,0.7435,0.196,0.06397200571146848,0.28712749421664485
Gene_1114,98.1,0.2256,0.2389,0.0018475069039799576,0.008284784322780079
Gene_1115,18.88,0.5474,0.111,0.06395217952638012,0.2865241018206995
Gene_1116,768.7,3.6051,0.1273,0.0026746614481915074,0.011972522149469594
Gene_1117,27.83,-0.0864,0.3781,0.17592962715980046,0.7868051304105566
Gene_1118,447.61,0.3016,0.2829,0.002727950478330954,0.012189233593972091
Gene_1119,74.57,1.576,0.2835,0.00011261195787603305,0.0005027319548037189
Gene_1120,118.04,1.6583,0.2944,0.029508986151749746,0.13161902833073036
Gene_1121,199.44,-3.2564,0.3564,0.0009884249166868283,0.0044047456180339945
Gene_1122,32.34,0.9581,0.2181,0.13840280717030495,0.6162190880245101
Gene_1123,226.05,-1.7145,0.356,0.28087740886483437,1.0
Gene_1124,3167.41,2.4501,0.3113,0.045328671596059744,0.20146076264915444
Gene_1125,31.31,-1.7195,0.2042,0.0015260526480607671,0.0067764327178542055
Gene_1126,1546.3,0.454,0.3609,0.004527058683481384,0.020084554940023886
Gene_1127,2969.64,-1.1314,0.3057,0.0039875016618326166,0.017675096018761598
Gene_1128,29.01,-0.0962,0.1953,0.13574901409934131,0.6011913821937171
Gene_1129,8.08,0.4931,0.2029,0.002650156054692598,0.01172635422430353
Gene_1130,271.49,0.482,0.348,0.049597227717295446,0.21926272200395866
Gene_1131,49.66,0.6329,0.4014,0.17084738010215114,0.7546262372003143
Gene_1132,6230.47,2.4206,0.3283,0.00021939749093864358,0.0009682148761634757
Gene_1133,159.11,0.6803,0.3889,0.16783061609079977,0.7399938981075828
Gene_1134,29.83,-0.3662,0.4233,0.009535331887090492,0.04200586734401098
Gene_1135,14.96,1.4461,0.2775,0.0007475358137131838,0.0032902104476812666
Gene_1136,1312.66,1.7842,0.3165,0.0014486194853242614,0.006370358334759285
Gene_1137,47.35,-1.8414,0.3669,0.013154442416765083,0.05779631993306275
Gene_1138,162.01,0.8961,0.1853,0.08709196033867088,0.38231764854552625
Gene_1139,1003.86,1.8812,0.4034,0.004531582080336695,0.01987536000147673
Gene_1140,56.34,-0.4463,0.4363,0.019788857408232302,0.08671716655667092
Gene_1141,135.39,2.0636,0.2262,0.017816404063377672,0.07800527173107562
Gene_1142,143.58,-0.2251,0.587,0.001916058026543951,0.008381706152860678
Gene_1143,582.1,0.1884,0.3795,0.0002265771889126684,0.000990284916576348
Gene_1144,483.71,-0.2596,0.2847,0.2942182396452266,1.0
Gene_1145,95.56,0.0234,0.0923,0.10107674894726071,0.44099803205611127
Gene_1146,168.56,-1.6444,0.2908,0.017887008654666248,0.07797301070037596
Gene_1147,70.56,-2.1601,0.3422,0.017222784536140654,0.07501212777064745
Gene_1148,7.73,2.3918,0.3308,0.048757366012866156,0.21217304618305552
Gene_1149,248.44,-1.2704,0.1689,0.006222660341593365,0.027055044963449414
Gene_1150,6531.45,1.5268,0.2339,0.009066165100099577,0.03938386229409026
Gene_1151,25.34,3.6542,0.368,0.0052339531336121235,0.022716810475747064
Gene_1152,31.62,-0.9584,0.3593,0.012780339596156425,0.05542211446728718
Gene_1153,26.01,-1.9846,0.3942,0.000412978089460777,0.001789333143244268
Gene_1154,632.19,2.463,0.3119,0.0010975463569291002,0.0047512829304290054
Gene_1155,363.93,1.5147,0.2968,0.001229793300349938,0.005319175174523953
Gene_1156,108.09,-1.0322,0.3512,0.06740747433841351,0.2913028277373099
Gene_1157,23.66,3.3787,0.3094,0.009167999766560719,0.03958549122003765
Gene_1158,178.53,2.7349,0.147,0.00441308191155138,0.019038317133526227
Gene_1159,6.49,-0.4872,0.452,0.09324484519989293,0.40191743620643505
Gene_1160,197.72,-3.7491,0.3922,0.018135152212029992,0.07810143071503012
Gene_1161,848.14,3.4364,0.3423,0.024548631867949422,0.10563094607551386
Gene_1162,12.15,-2.0844,0.1632,0.00961462690200862,0.041335455296683664
Gene_1163,6.92,-2.4681,0.3838,0.014376332506446841,0.06175400561188505
Gene_1164,3494.26,1.5339,0.2561,0.14719103220344276,0.6317211682551191
Gene_1165,43.66,3.6596,0.383,0.011914936034513289,0.05109320769516848
Gene_1166,1439.28,2.0764,0.3546,0.08698111431376152,0.3726697271369388
Gene_1167,109.07,0.8459,0.266,0.015153650744669463,0.06487008024259187
Gene_1168,107.35,0.8921,0.4052,0.00042618312464784994,0.001822853398835971
Gene_1169,356.68,1.2801,0.1808,0.04593067774990561,0.1962849476491693
Gene_1170,25.33,1.1384,0.3056,2.629851524923304e-06,1.122908422255894e-05
Gene_1171,193.45,0.4218,0.4659,2.486542169875807e-07,1.0608115059197128e-06
Gene_1172,69.2,0.1563,0.3487,0.03904748104146986,0.16644280068827733
Gene_1173,10.58,-0.0939,0.3913,0.023306258524717672,0.09926004482418088
Gene_1174,291.48,-1.1309,0.3079,0.0031183075729420257,0.013269393927412875
Gene_1175,87.65,-0.421,0.2979,0.026345709536629507,0.11201407115913906
Gene_1176,108.41,-2.5394,0.1779,0.12171043676584122,0.5170366897444402
Gene_1177,13.19,-0.1475,0.2844,0.013439549920983224,0.05704393005510707
Gene_1178,3578.86,-1.4829,0.3674,0.3491321473838511,1.0
Gene_1179,856.99,-1.6554,0.1906,0.012160638990586174,0.051528131316043106
Gene_1180,1020.77,0.2698,0.2037,0.03080740532928268,0.13042931976834327
Gene_1181,80.57,2.088,0.3419,0.052396611580554135,0.2216438730141884
Gene_1182,4.67,1.3775,0.3827,0.05946786098570973,0.25134345302497774
Gene_1183,7374.88,-2.3558,0.5015,0.11379157433482795,0.4805387429680234
Gene_1184,131.34,-1.4844,0.2726,0.06255517016644362,0.26394586568119666
Gene_1185,33.2,1.4112,0.2753,0.0059903653900761885,0.025254491526459477
Gene_1186,341.59,-1.4737,0.3832,0.04247037733491445,0.17889796686990078
Gene_1187,1531.87,-0.3369,0.3571,0.23925345807249845,1.0
Gene_1188,141.73,0.8251,0.2742,0.03126776968623318,0.13148767740215803
Gene_1189,1914.38,-1.4525,0.2972,0.061438581863518436,0.25814530194755647
Gene_1190,1294.66,0.1581,0.2372,0.0010682086165075104,0.00448450300800802
Gene_1191,17.24,-2.001,0.1844,0.4380840362492852,1.0
Gene_1192,38.57,-0.9021,0.2865,0.40612982713041684,1.0
Gene_1193,1007.35,0.4797,0.4523,2.195598403309269e-05,9.194298171311847e-05
Gene_1194,0.65,-2.3895,0.2281,0.009462357056468996,0.03959145211911714
Gene_1195,110.07,0.6607,0.1565,9.256424311810942e-06,3.869742605272133e-05
Gene_1196,8.49,-0.0295,0.1996,0.23528796317284809,0.9828235721505768
Gene_1197,57.22,0.8287,0.3532,0.1249531609553168,0.5215073495630919
Gene_1198,81.64,0.3359,0.3429,0.00035320294326426005,0.0014729063522279401
Gene_1199,72.49,2.0462,0.4271,0.014526025635559922,0.060525106814833
Gene_1200,49.18,0.1878,0.4062,0.006489433192919202,0.027016790978014998
Gene_1201,16.54,-0.6441,0.3298,0.004747564859770914,0.019748605905869028
Gene_1202,14527.85,0.1834,0.3651,1.9079045936663027e-05,7.929778028538249e-05
Gene_1203,6216.26,0.8149,0.2251,0.03127890587353003,0.12989578851133732
Gene_1204,14.52,0.0733,0.3689,0.017998345256034907,0.07468193052296641
Gene_1205,3513.03,0.0609,0.2891,3.0812335427869155e-07,1.2774600094473115e-06
Gene_1206,66.76,-1.053,0.3851,0.04235694372656124,0.1754637271191435
Gene_1207,192.17,-0.9944,0.3419,0.010449496867905366,0.04325122875788645
Gene_1208,130.77,-2.1039,0.2527,0.000847316297509101,0.0035042030500789948
Gene_1209,39.67,2.6244,0.19,4.714607540034759e-05,0.00019481849338986608
Gene_1210,1061.78,-1.8658,0.25,0.005636979411237371,0.023274068584795093
Gene_1211,190.9,-1.0394,0.3185,7.633113221283631e-05,0.0003148974101189617
Gene_1212,57.22,-1.0776,0.2184,0.0018006044730784197,0.007422112419944022
Gene_1213,10.92,1.3424,0.2847,0.003260470513365327,0.013428626496562302
Gene_1214,24.85,-0.4424,0.4088,0.10953419946220061,0.4507580224781918
Gene_1215,5.57,1.8716,0.4175,0.01968026745413122,0.08092215236073692
Gene_1216,152.09,-1.0102,0.3478,3.3244525498736775e-06,1.3658391741469503e-05
Gene_1217,13.55,0.4185,0.4363,0.07461328508665653,0.30629427375474766
Gene_1218,87.26,-1.253,0.1735,2.2261263875303077e-05,9.130953189213731e-05
Gene_1219,2298.94,3.2177,0.4298,6.8201870418600225e-06,2.7951586237131238e-05
Gene_1220,1633.69,2.817,0.164,0.0036756182524182368,0.015051671795324476
Gene_1221,139.14,2.6575,0.301,0.0057693158780705205,0.023606038780975943
Gene_1222,124.69,0.9507,0.2187,0.07906709914365784,0.32325060974512604
Gene_1223,6372.51,0.6207,0.3739,0.009129432483418812,0.037293433347299065
Gene_1224,420.53,-0.2779,0.1434,0.004754505022195852,0.01940614294773817
Gene_1225,77.04,-0.1947,0.1235,0.00013626454806591696,0.0005557281731888947
Gene_1226,8.57,0.0657,0.2346,0.00010706107378892623,0.00043627169433140277
Gene_1227,326.28,-0.2205,0.2275,3.1192537629057175e-05,0.00012700544637238263
Gene_1228,779.5,1.4458,0.2429,0.14369693996323873,0.5846091943174888
Gene_1229,41.96,3.3158,0.2325,0.006116193654656881,0.024862575831938537
Gene_1230,265.71,-0.8362,0.3687,2.606891432654963e-05,0.00010588511099329663
Gene_1231,71.73,-2.0547,0.2915,0.010072109871321965,0.040877069282962517
Gene_1232,102.71,-0.1324,0.4549,0.06893259392565912,0.27953201105295666
Gene_1233,1.02,3.8696,0.3231,0.10320353578720434,0.418166676609418
Gene_1234,95.24,-4.3667,0.3882,0.0017340463771138767,0.0070204306765744
Gene_1235,1031.47,2.4587,0.358,0.3067750829122152,1.0
Gene_1236,41.98,2.5166,0.2102,0.2918559553059875,1.0
Gene_1237,164.85,-0.8304,0.2479,0.22092108329519486,0.8922499325330973
Gene_1238,32.72,0.8535,0.3994,0.00028122781685782893,0.0011348983731147252
Gene_1239,305.17,2.4426,0.1224,0.10700543447984913,0.4314735261284239
Gene_1240,96.25,-0.5687,0.3487,0.015670936154419397,0.06313834067050522
Gene_1241,22.68,-0.3054,0.2822,0.0005173043772872557,0.002082545802283638
Gene_1242,2132.61,-0.8725,0.2255,0.13144660562071558,0.5287474079674802
Gene_1243,951.33,-1.5221,0.2734,0.0010442096358213738,0.004196984066806165
Gene_1244,44.26,-0.9739,0.462,0.1382499704918429,0.5552207650274815
Gene_1245,401.65,-1.8359,0.1276,0.6035453947784831,1.0
Gene_1246,434.77,0.0511,0.1781,0.012000071785399078,0.04811576497754241
Gene_1247,536.25,-1.155,0.1062,0.03555924047314905,0.14246490574178305
Gene_1248,5.01,0.3507,0.2562,0.062240532260454014,0.24916145820838279
Gene_1249,1111.22,-2.3338,0.2375,0.26826538428981384,1.0
Gene_1250,47.49,0.4963,0.3161,0.0005024929819775569,0.00200836523572165
Gene_1251,72.55,3.9933,0.2521,0.008769254993975534,0.03502098639766587
Gene_1252,29020.67,-2.9906,0.3451,0.0031467141878627,0.0125567206219581
Gene_1253,271.44,0.5611,0.2212,0.21490484085186895,0.856877355868696
Gene_1254,68.54,1.8415,0.5097,0.07477845851594446,0.2979221454818505
Gene_1255,1.8,-1.8145,0.3615,0.0007613763012970748,0.003030956613443769
Gene_1256,2391.15,2.5089,0.3516,0.009669558488579366,0.03846284203889963
Gene_1257,10.07,0.6285,0.3627,0.015479507480160946,0.06152427456343778
Gene_1258,19.95,-1.0575,0.1954,0.007010771722809814,0.027842620027044535
Gene_1259,76.5,-0.0837,0.2753,5.813248740860677e-06,2.3068447384367766e-05
Gene_1260,2522.04,0.8375,0.2797,0.004913491261515462,0.019482518879918566
Gene_1261,696.79,0.114,0.2528,0.49549380242255836,1.0
Gene_1262,108.24,0.8081,0.2653,0.0019768377522979006,0.007825961014639353
Gene_1263,274.95,-2.4615,0.3829,0.009179426518699992,0.03631102262143984
Gene_1264,44.67,0.254,0.2941,0.004646618716368168,0.018366081882878135
Gene_1265,196.23,4.6126,0.33,0.007129736896431221,0.02815851854830656
Gene_1266,171.86,-0.1668,0.1311,0.005811447613831387,0.022933889557345648
Gene_1267,1030.23,-1.3559,0.1252,0.0587173430764621,0.2315352644970903
Gene_1268,1026.96,-1.1033,0.2056,0.11934724057194872,0.470241294609727
Gene_1269,398.6,1.8541,0.4639,0.03681055901975368,0.14492346070769166
Gene_1270,71.9,1.637,0.5009,0.012792078987488737,0.05032289137485734
Gene_1271,654.35,0.9137,0.3983,0.0017687333715239381,0.006952568284292209
Gene_1272,123.48,-1.6385,0.2606,0.012375852918047896,0.04860900596248192
Gene_1273,17.05,-0.4746,0.3427,0.00169042090098991,0.006634304948939993
Gene_1274,66.25,1.8196,0.4262,0.00840385149746426,0.03295628038221278
Gene_1275,175.75,0.2126,0.4854,0.012870488983542244,0.05043295056246961
Gene_1276,916.38,3.479,0.185,0.038152079386189745,0.1493816733993334
Gene_1277,102.82,0.59,0.3204,0.16775154219969715,0.6563049381834787
Gene_1278,13.22,0.2881,0.2677,0.00040194464065480373,0.0015713238493151045
Gene_1279,166.25,-0.4637,0.3586,0.005678941888786979,0.022183366753074134
Gene_1280,186.22,0.2003,0.3052,0.030418121540376545,0.11872803099288269
Gene_1281,215.22,-0.2287,0.2,0.023784621230884737,0.09276373334978447
Gene_1282,934.25,1.0622,0.3395,0.15544214316464963,0.605776084039944
Gene_1283,1138.93,1.4351,0.2303,0.003181931528302676,0.012390699097751853
Gene_1284,45.22,-1.179,0.2965,0.012118307780918732,0.04715294856388612
Gene_1285,43.28,-1.9968,0.3013,0.0009854507511063235,0.0038314570416264526
Gene_1286,18.53,-2.7543,0.4687,1.977707558841483e-05,7.683401549500711e-05
Gene_1287,600.42,0.762,0.3321,0.028572427379519264,0.1109178081503077
Gene_1288,2690.92,-1.655,0.2911,0.0013792911107698318,0.005350237047206485
Gene_1289,79.03,-3.2293,0.3724,0.05622828376563823,0.21793908436293888
Gene_1290,91.57,0.5829,0.2116,0.5663498054221254,1.0
Gene_1291,2789.35,3.7395,0.3101,0.01560731712808444,0.06039983408701409
Gene_1292,407.94,-0.0091,0.3634,0.10202834556839928,0.39454116615776985
Gene_1293,355.13,1.2577,0.3589,0.23557427218498914,0.9102560749033584
Gene_1294,13.71,0.1227,0.247,0.0598052755568116,0.23090839983324943
Gene_1295,576.78,-0.1483,0.3364,0.09356922756663828,0.3609923903033884
Gene_1296,23.14,1.3786,0.368,0.00016524630758032785,0.0006370327971485268
Gene_1297,15.36,-0.4354,0.2095,0.18564386420034273,0.7151150392925375
Gene_1298,74.18,0.4011,0.2396,0.0937358093928338,0.36079988218950654
Gene_1299,45.99,0.4825,0.2678,0.0013441694094857778,0.0051698823441760685
Gene_1300,95.28,3.7493,0.533,0.0007845900054087318,0.0030153343789728355
Gene_1301,8.31,1.4881,0.2252,0.03134277366193254,0.12036395415488686
Gene_1302,1009.93,-0.2624,0.3325,0.11910889012188927,0.45705637038330493
Gene_1303,1415.69,-1.1336,0.2647,0.000814011026672291,0.0031212079243569443
Gene_1304,3.02,0.8048,0.2062,0.061465959274964815,0.23550175967419468
Gene_1305,1050.39,-4.6392,0.3698,0.0013193748475936117,0.0050512053889495085
Gene_1306,29.34,0.0423,0.1589,0.0150116268417388,0.0574277997006075
Gene_1307,823.82,-0.0137,0.4444,0.0784393543191211,0.29984462660214484
Gene_1308,129.43,1.6288,0.1961,0.06175665292501185,0.23589248634458307
Gene_1309,157.21,0.712,0.2334,0.04731174840325441,0.18057919237883363
Gene_1310,102.49,-0.0375,0.3572,0.38162459971280044,1.0
Gene_1311,1676.16,1.2266,0.3753,0.02179734524604655,0.08306915109011642
Gene_1312,12.44,2.0853,0.3233,0.0005948875130841012,0.002265375145027042
Gene_1313,500.54,0.8367,0.2467,0.12810686812666042,0.4874690567985556
Gene_1314,1343.0,0.0155,0.1407,0.10420359434455316,0.39621138534050626
Gene_1315,621.84,-1.9678,0.291,0.2731646526376599,1.0
Gene_1316,15512.44,-1.5977,0.215,0.00012000320394929819,0.00045559302942026653
Gene_1317,51.53,-0.4578,0.5412,0.02312672844059493,0.08773417466083054
Gene_1318,1006.88,-0.9143,0.3133,0.04499937234564137,0.17058139630644947
Gene_1319,120.04,-0.2805,0.1711,0.00011078551520758284,0.0004196421030590259
Gene_1320,1749.02,0.085,0.2668,0.008102673540684871,0.030668711357626312
Gene_1321,146.15,0.7945,0.3758,0.018967400771687144,0.0717375218293765
Gene_1322,68.32,-0.1057,0.4162,0.10408240879425011,0.39335755402210926
Gene_1323,2022.61,0.7298,0.2691,0.18939847189877712,0.7152510268080707
Gene_1324,55.53,0.0967,0.2881,4.451640828475207e-06,1.67986446357555e-05
Gene_1325,8.8,-2.9632,0.3565,0.020428702658428038,0.07703130715847677
Gene_1326,52.79,-1.409,0.2064,0.3548703843356706,1.0
Gene_1327,511.87,-0.2161,0.3347,2.955101587385315e-07,1.1126135494673626e-06
Gene_1328,2402.05,-1.8145,0.3286,0.23666151676611777,0.8903744046881782
Gene_1329,185.35,2.709,0.3534,0.005105503032280172,0.01919362042210591
Gene_1330,2072.26,2.2961,0.2961,0.05148487019534037,0.19340672500127865
Gene_1331,9.81,1.8281,0.1435,0.010706474788500316,0.04018946992680299
Gene_1332,61.16,-0.3202,0.3228,0.04148601337575324,0.15561145302233023
Gene_1333,83.33,2.2361,0.2124,0.03957448150467132,0.14833014057223134
Gene_1334,118.02,0.223,0.4726,0.11934801982815332,0.44699632894439445
Gene_1335,175.6,-0.5056,0.4754,0.002954319078238651,0.011056583376641659
Gene_1336,591.0,-0.9201,0.1855,0.3089384882956725,1.0
Gene_1337,60.97,-0.4537,0.2145,0.08303280946040556,0.3102870308684812
Gene_1338,195.99,-0.5823,0.0692,0.04954182886110416,0.18499562681517612
Gene_1339,135.61,0.2556,0.3735,0.13021864747160666,0.4858904756403234
Gene_1340,23.29,0.2409,0.2427,0.015414471369703852,0.05747379332477201
Gene_1341,118.23,0.0046,0.3271,0.3012400894269926,1.0
Gene_1342,111.35,0.6554,0.2461,0.033451899532918265,0.12454169595278579
Gene_1343,106.68,1.786,0.1398,0.25801226700904395,0.9598670647657885
Gene_1344,158.15,1.4243,0.3211,0.05815161030538666,0.21617698998285004
Gene_1345,172.66,-2.2273,0.4289,0.23719674883276717,0.8811171947725377
Gene_1346,62.52,-3.8309,0.2972,1.1931745313066357e-05,4.42900716891847e-05
Gene_1347,1892.08,1.4015,0.1973,3.0174487285017803e-05,0.00011192317242217286
Gene_1348,14.31,-2.0503,0.2852,0.002859828753864923,0.010599810058802532
Gene_1349,35.1,-0.3371,0.3513,0.0033548066909679063,0.012425209966547801
Gene_1350,38558.32,-1.7552,0.2798,0.03875795795342048,0.14344173927986853
Gene_1351,18.62,-2.703,0.1901,0.03725200583716085,0.13776629377648245
Gene_1352,9.9,0.8122,0.502,0.0020162385323124706,0.00745099235887831
Gene_1353,644.81,1.1387,0.1487,0.009400336222148524,0.034713206137919214
Gene_1354,2.33,-0.8648,0.5275,0.2621605912118296,0.9673822553942052
Gene_1355,92.71,-3.8866,0.2907,0.10522010802574226,0.38797974935745666
Gene_1356,10847.07,-0.8194,0.3897,0.0001719928237171921,0.0006337244794295951
Gene_1357,6.75,0.5877,0.3215,0.016203578441137487,0.05965971443717778
Gene_1358,2.82,-2.2184,0.2122,2.426521116450001e-05,8.927597926600446e-05
Gene_1359,7.4,0.275,0.4329,0.004815729049158884,0.017704886210142955
Gene_1360,894.91,-0.023,0.3616,0.21240442096366408,0.7803248382206617
Gene_1361,1407.48,0.8689,0.2904,0.012018287596450064,0.04411999851853915
Gene_1362,53.24,0.1794,0.3728,0.07572549505963289,0.27778978378442
Gene_1363,581.97,-1.4596,0.2863,0.000117896225672874,0.0004321709152231451
Gene_1364,2393.5,1.7949,0.0799,0.013250985644950483,0.048538408955862575
Gene_1365,5295.92,-0.2378,0.1289,0.033179885996849574,0.1214490702666529
Gene_1366,90.68,-0.041,0.2978,0.23232519774500604,0.849762976389927
Gene_1367,1.49,-1.3999,0.2682,0.10169735802762256,0.3717008699840006
Gene_1368,28.74,-0.6649,0.291,0.017083714672053742,0.06239486731940738
Gene_1369,63.21,-1.3272,0.266,0.1484491101331903,0.5417850734787967
Gene_1370,88.42,-0.2594,0.1878,8.101715187292124e-06,2.9546736642203224e-05
Gene_1371,101.93,2.5676,0.1617,0.0709992285173255,0.2587435441593495
Gene_1372,1391.02,-2.0579,0.2154,0.25833655516153403,0.9407740537564968
Gene_1373,1898.57,-2.4203,0.3754,0.0010807553323501128,0.003932879666485127
Gene_1374,105.28,2.2068,0.2183,0.012800129302327806,0.04654592473573748
Gene_1375,1335.38,-0.314,0.4042,0.009587631243170455,0.034838776319660085
Gene_1376,303.48,-1.0036,0.1963,0.06752420554080577,0.2451859315207181
Gene_1377,168.85,1.5599,0.4185,0.15738788050744132,0.5710735867468842
Gene_1378,909.68,-0.9084,0.2484,0.1210558000246952,0.43892603344704567
